title,author,length
Icebreaker,Hannah Grace,Length: 13 hrs and 23 mins
The Count of Monte Cristo,Alexandre Dumas,Length: 52 hrs and 41 mins
When You Find Me,P. J. Vernon,Length: 10 hrs and 16 mins
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins
The Blade Itself,Joe Abercrombie,Length: 22 hrs and 15 mins
Complex PTSD,Pete Walker,Length: 10 hrs and 28 mins
How to Talk So Kids Will Listen & Listen So Kids Will Talk,"Adele Faber,Elaine Mazlish",Length: 8 hrs and 24 mins
The Parrot and the Igloo,David Lipsky,Length: 18 hrs and 46 mins
The Richest Man in Babylon,George S. Clason,Length: 4 hrs and 4 mins
Mere Christianity,C. S. Lewis,Length: 7 hrs and 6 mins
Mindhunter,"John E. Douglas,Mark Olshaker",Length: 15 hrs and 24 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
Mastery,Robert Greene,Length: 16 hrs and 9 mins
The Book Thief,Markus Zusak,Length: 13 hrs and 56 mins
How Not to Die,"Michael Greger MD FACLM,Gene Stone",Length: 17 hrs and 9 mins
Redeeming Love,Francine Rivers,Length: 17 hrs and 17 mins
Anna Karenina,Leo Tolstoy,Length: 35 hrs and 35 mins
The Holy Bible in Audio - King James Version,King James Bible,Length: 72 hrs and 1 min
The Making of the Atomic Bomb,Richard Rhodes,Length: 37 hrs and 16 mins
The Power of Habit,Charles Duhigg,Length: 11 hrs and 10 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
Rich Kid,Khan Nguyen,Length: 1 hr and 29 mins
The Prince,Niccolo Machiavelli,Length: 4 hrs and 47 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
JFK and the Unspeakable,James W. Douglass,Length: 22 hrs and 20 mins
Quiet,Susan Cain,Length: 10 hrs and 39 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins
The Terminal List,Jack Carr,Length: 12 hrs and 3 mins
The Complete Sherlock Holmes,Arthur Conan Doyle,Length: 58 hrs and 4 mins
The Poisonwood Bible,Barbara Kingsolver,Length: 15 hrs and 34 mins
Foundation (Apple Series Tie-in Edition),Isaac Asimov,Length: 8 hrs and 37 mins
A Villains Collection,Serena Valentino,Length: 12 hrs and 52 mins
Lady Tan's Circle of Women,Lisa See,Length: 13 hrs and 15 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins
Zero to One,"Peter Thiel,Blake Masters",Length: 4 hrs and 50 mins
Double Pucked,Lauren Blakely,Length: 8 hrs and 29 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins
Sphere,Michael Crichton,Length: 13 hrs
Does It Hurt?,H. D. Carlton,Length: 12 hrs and 7 mins
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins
Paradise,Craig Alanson,Length: 15 hrs and 53 mins
The Titan's Curse,Rick Riordan,Length: 8 hrs and 48 mins
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins
Rising Strong,Brené Brown,Length: 8 hrs and 51 mins
Money: Master the Game,Tony Robbins,Length: 21 hrs and 3 mins
No Country for Old Men,Cormac McCarthy,Length: 7 hrs and 29 mins
Anne of Green Gables,Lucy Maud Montgomery,Length: 9 hrs and 22 mins
It,Stephen King,Length: 44 hrs and 55 mins
Ugly Love,Colleen Hoover,Length: 9 hrs and 14 mins
Only the Dead,Jack Carr,Length: 15 hrs and 17 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
The Only One Left,Riley Sager,Length: 12 hrs and 32 mins
Frankenstein,Mary Shelley,Length: 8 hrs and 35 mins
Jane Eyre,Charlotte Brontë,Length: 19 hrs and 10 mins
Dust,Hugh Howey,Length: 10 hrs and 53 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
The Silent Corner,Dean Koontz,Length: 14 hrs and 26 mins
Disruptive Thinking,T. D. Jakes,Length: 8 hrs and 32 mins
Neuromancer,William Gibson,Length: 10 hrs and 31 mins
The Viscount Who Loved Me,Julia Quinn,Length: 12 hrs and 23 mins
An Offer from a Gentleman,Julia Quinn,Length: 12 hrs and 22 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Talking to Strangers,Malcolm Gladwell,Length: 8 hrs and 42 mins
Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins
"Hustle Harder, Hustle Smarter",Curtis 50 Cent Jackson,Length: 8 hrs and 16 mins
Homecoming,Kate Morton,Length: 17 hrs and 38 mins
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
The Boys in the Boat,Daniel James Brown,Length: 14 hrs and 24 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 47 mins
The In-Between,Hadley Vlahos R.N.,Length: 7 hrs and 19 mins
Tell Me Everything,Minka Kelly,Length: 8 hrs and 40 mins
The Road,Cormac McCarthy,Length: 6 hrs and 39 mins
"Love, Theoretically",Ali Hazelwood,Length: 12 hrs and 33 mins
Layla,Colleen Hoover,Length: 8 hrs and 10 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
Norse Mythology,Neil Gaiman,Length: 6 hrs and 29 mins
"The Gifts of Imperfection, 10th Anniversary Edition",Brené Brown,Length: 4 hrs and 31 mins
Dare to Lead,Brené Brown,Length: 8 hrs and 10 mins
Outlander,Diana Gabaldon,Length: 32 hrs and 38 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Savage Son,Jack Carr,Length: 12 hrs and 56 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
The Guest List,Lucy Foley,Length: 10 hrs and 22 mins
The 10X Rule,Grant Cardone,Length: 7 hrs and 24 mins
For We Are Many,Dennis E. Taylor,Length: 8 hrs and 59 mins
The Dark Forest,"Cixin Liu,Joel Martinsen - translator",Length: 22 hrs and 36 mins
Way of the Wolf,Jordan Belfort,Length: 7 hrs and 28 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Daring Greatly,Brené Brown,Length: 6 hrs and 30 mins
The Power of Vulnerability,Brené Brown,Length: 6 hrs and 30 mins
The Unbearable Lightness of Being,"Milan Kundera,Michael Henry Heim - translator",Length: 9 hrs and 37 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
Letting Go,David R. Hawkins MD,Length: 12 hrs and 23 mins
The Highly Sensitive Person,Elaine N. Aron,Length: 9 hrs and 57 mins
The Obsession,Nora Roberts,Length: 14 hrs and 19 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
Meditations,"Marcus Aurelius,George Long - translator,Duncan Steen - translator",Length: 5 hrs and 9 mins
Dragon Blood - Omnibus,Lindsay Buroker,Length: 27 hrs and 34 mins
Breath,James Nestor,Length: 7 hrs and 18 mins
Untamed,Glennon Doyle,Length: 8 hrs and 22 mins
Educated,Tara Westover,Length: 12 hrs and 10 mins
Mockingjay,Suzanne Collins,Length: 11 hrs and 19 mins
Cross Down,"James Patterson,Brendan DuBois",Length: 9 hrs and 46 mins
Prepared,"Mike Glover,Jack Carr - foreword",Length: 5 hrs and 14 mins
Mythos,Stephen Fry,Length: 15 hrs and 26 mins
Beach Read,Emily Henry,Length: 10 hrs and 13 mins
The Great Alone,Kristin Hannah,Length: 15 hrs and 3 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
The Way of the Superior Man,David Deida,Length: 5 hrs and 22 mins
The House in the Cerulean Sea,TJ Klune,Length: 12 hrs and 12 mins
Things We Hide from the Light,Lucy Score,Length: 17 hrs and 36 mins
The Dutch House,Ann Patchett,Length: 9 hrs and 53 mins
Hyperion,Dan Simmons,Length: 20 hrs and 44 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
Emotional Intelligence 2.0,"Travis Bradberry,Jean Greaves",Length: 4 hrs and 17 mins
Shift,Hugh Howey,Length: 14 hrs and 35 mins
11-22-63,Stephen King,Length: 30 hrs and 40 mins
Regretting You,Colleen Hoover,Length: 11 hrs and 17 mins
The Hate U Give,Angie Thomas,Length: 11 hrs and 50 mins
Don't Let Go,Harlan Coben,Length: 8 hrs and 42 mins
Zero Days,Ruth Ware,Length: 14 hrs and 10 mins
Chaos,"Tom O'Neill,Dan Piepenbring",Length: 16 hrs and 15 mins
Maybe You Should Talk to Someone,Lori Gottlieb,Length: 14 hrs and 21 mins
The Invisible Life of Addie LaRue,V. E. Schwab,Length: 17 hrs and 10 mins
If You Tell,Gregg Olsen,Length: 10 hrs and 34 mins
The Dichotomy of Leadership,"Jocko Willink,Leif Babin",Length: 10 hrs and 34 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
Everything Is F*cked,Mark Manson,Length: 7 hrs and 2 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Think Like a Monk,Jay Shetty,Length: 11 hrs
Where the Crawdads Sing,Delia Owens,Length: 12 hrs and 12 mins
Shadows of Self,Brandon Sanderson,Length: 12 hrs and 37 mins
The Bands of Mourning,Brandon Sanderson,Length: 14 hrs and 41 mins
Killing Floor,Lee Child,Length: 17 hrs and 47 mins
'Salem's Lot (Movie Tie-in),Stephen King,Length: 17 hrs and 36 mins
Vergil,Maria Dahvana Headley,Length: 9 hrs and 3 mins
Deep Work,Cal Newport,Length: 7 hrs and 44 mins
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,Length: 4 hrs and 46 mins
Hell Divers,Nicholas Sansbury Smith,Length: 10 hrs and 11 mins
Evolve Your Brain,Joe Dispenza,Length: 18 hrs and 37 mins
"Red, White & Royal Blue",Casey McQuiston,Length: 12 hrs and 15 mins
Attached,"Amir Levine,Rachel Heller",Length: 7 hrs and 4 mins
Pretty Girls,Karin Slaughter,Length: 20 hrs
The Martian,Andy Weir,Length: 10 hrs and 59 mins
The Ballad of Songbirds and Snakes,Suzanne Collins,Length: 16 hrs and 16 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
The Silent Patient,Alex Michaelides,Length: 8 hrs and 51 mins
Cutting for Stone,Abraham Verghese,Length: 23 hrs and 54 mins
Adventures of Huckleberry Finn: A Signature Performance by Elijah Wood,Mark Twain,Length: 10 hrs and 10 mins
Leaders Eat Last,Simon Sinek,Length: 9 hrs and 23 mins
Firefly Lane,Kristin Hannah,Length: 17 hrs and 54 mins
Dragon's Justice 7,Bruce Sentar,Length: 10 hrs and 3 mins
Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,Length: 9 hrs and 5 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
The Wager,David Grann,Length: 8 hrs and 28 mins
The Midnight Library,Matt Haig,Length: 8 hrs and 50 mins
The Holy Bible: King James Version,King James Bible,Length: 82 hrs and 53 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
The Institute,Stephen King,Length: 18 hrs and 59 mins
The Thursday Murder Club,Richard Osman,Length: 12 hrs and 26 mins
The Sacred Mushroom and the Cross,John M. Allegro,Length: 10 hrs and 33 mins
Night,Elie Wiesel,Length: 4 hrs and 17 mins
Meet Me at the Lake,Carley Fortune,Length: 9 hrs and 56 mins
Wired for Love,Stan Tatkin PsyD MFT,Length: 7 hrs and 37 mins
Becoming,Michelle Obama,Length: 19 hrs and 3 mins
Crime and Punishment,"Fyodor Dostoevsky,Constance Garnett - translator",Length: 20 hrs and 28 mins
War and Peace,Leo Tolstoy,Length: 61 hrs and 6 mins
